Country,Total Cases,Total Deaths,Population,Area,Pop. Density,Coast/Area Ratio,Net Migration,Infant Mortality,GDP,Phones per 1000,Birthrate,Deathrate
Reunion,9037,42,898549,2517,312.9,8.22,0,7.78,5800,380.9,18.9,5.49
Romania,640429,15979,19172064,237500,93.9,0.09,-0.13,26.43,7000,196.9,10.7,11.77
Russia,3236787,58506,145966312,17075200,8.4,0.22,01.02,15.39,8900,280.6,9.95,14.65
Rwanda,8567,98,13112650,26338,328.4,0,0,91.23,1300,2.7,40.37,16.09
Saint Kitts and Nevis,33,0,53390,261,149.9,51.72,-7.11,14.49,8800,638.9,18.02,8.33
Saint Lucia,353,5,184053,616,273.5,25.65,-2.67,13.53,5400,303.3,19.68,05.08
Saint Pierre Miquelon,16,0,5780,242,29,49.59,-4.86,7.54,6900,683.2,13.52,6.83
Saint Vincent and the Grenadines,122,0,111119,389,303,21.59,-7.64,14.78,2900,190.9,16.18,5.98
Samoa,2,0,199082,2944,60.1,13.69,-11.7,27.71,5600,75.2,16.43,6.62
San Marino,2428,59,33967,61,479.5,0,10.98,5.73,34600,704.3,10.02,8.17
Sao Tome and Principe,1024,17,221203,1001,193.2,20.88,-2.72,43.11,1200,36.2,40.25,6.47
Saudi Arabia,363061,6246,35086790,1960582,13.8,0.13,-2.71,13.24,11800,140.6,29.34,2.58
Senegal,19697,421,16964123,196190,61.1,0.27,0.2,55.51,1600,22.2,32.78,9.42
Seychelles,297,0,98656,455,179.2,107.91,-5.69,15.53,7800,262.4,16.03,6.29
Sierra Leone,2646,76,8058333,71740,83.7,0.56,0,143.64,500,4,45.76,23.03
Singapore,58697,29,5873638,693,6482.2,27.85,11.53,2.29,23700,411.4,9.34,4.28
Slovakia,187463,2317,5460988,48845,111.4,0,0.3,7.41,13300,220.1,10.65,9.45
Slovenia,125086,2803,2079083,20273,99.2,0.23,1.12,4.45,19000,406.1,8.98,10.31
Solomon Islands,17,0,695303,28450,19.4,18.67,0,21.29,1700,13.4,30.01,3.92
Somalia,4714,130,16114218,637657,13.9,0.47,5.37,116.7,500,11.3,45.13,16.63
South Africa,1088889,29175,59685961,1219912,36.2,0.23,-0.29,61.81,10700,107,18.2,22
South Korea,63244,962,51291636,98480,496,2.45,0,07.05,17800,486.1,10,5.85
Spain,1936718,50837,46763996,504782,80,0.98,0.99,4.42,22000,453.5,10.06,9.72
Sri Lanka,44774,211,21458828,65610,308.2,02.04,-1.31,14.35,3700,61.5,15.51,6.52
Sudan,23316,1468,44361438,2505810,16.5,0.03,-0.02,62.5,1900,16.3,34.53,8.97
Suriname,6343,123,589291,163270,2.7,0.24,-8.81,23.57,4000,184.7,18.02,7.27
Sweden,437379,8727,10131187,449964,20,0.72,1.67,2.77,26800,715,10.27,10.31
Switzerland,452296,7745,8686681,41290,182.2,0,04.05,4.39,32700,680.9,9.71,8.49
Syria,11616,723,17713174,185180,102,0.1,0,29.53,3300,153.8,27.76,4.81
Taiwan,812,7,23838695,35980,640.3,4.35,0,6.4,23400,591,12.56,6.48
Tajikistan,13300,90,9644890,143100,51.2,0,-2.86,110.76,1000,33.5,32.65,8.25
Tanzania,509,21,60581810,945087,39.6,0.15,-2.06,98.54,600,4,37.71,16.39
Thailand,7694,64,69888997,514000,125.7,0.63,0,20.48,7400,108.9,13.87,07.04
Togo,3683,68,8375784,56785,97.7,0.1,0,66.61,1500,10.6,37.01,9.83
Trinidad and Tobago,7162,127,1401790,5128,207.9,07.06,-10.83,24.31,9500,303.5,12.9,10.57
Tunisia,141979,4765,11881114,163610,62.2,0.7,-0.57,24.77,6900,123.6,15.52,5.13
Turkey,2232035,21295,84797583,780580,90.2,0.92,0,41.04,6700,269.5,16.62,5.97
Turks and Caicos Islands,909,6,38981,430,49.2,90.47,11.68,15.67,9600,269.5,21.84,4.21
Uganda,35712,274,46458771,236040,119.5,0,0,67.83,1400,3.6,47.35,12.24
Ukraine,1074093,18854,43599458,603700,77.4,0.46,-0.39,20.34,5400,259.9,8.82,14.39
United Arab Emirates,213231,679,9950716,82880,31.4,1.59,01.03,14.51,23200,475.3,18.96,4.4
United Kingdom,2654779,75024,68066909,244820,247.6,05.08,2.19,5.16,27700,543.5,10.71,10.13
United States,20918061,358745,331986837,9631420,31,0.21,3.41,6.5,37800,898,14.14,8.26
Uruguay,20275,201,3479845,176220,19.5,0.37,-0.32,11.95,12800,291.4,13.91,09.05
Uzbekistan,77231,614,33713576,447400,61,0,-1.72,71.1,1700,62.9,26.36,7.84
Vanuatu,1,0,310735,12200,17.1,20.72,0,55.16,2900,32.6,22.72,7.82
Venezuela,114083,1032,28394841,912050,28.2,0.31,-0.04,22.2,4800,140.1,18.71,4.92
Vietnam,1494,35,97781652,329560,256.1,01.05,-0.45,25.95,2500,187.7,16.86,6.22
Yemen,2101,610,30154939,527970,40.6,0.36,0,61.5,800,37.2,42.89,8.3
Zambia,21582,394,18640540,752614,15.3,0,0,88.29,800,8.2,41,19.93
Zimbabwe,14491,377,14971922,390580,31.3,0,0,67.69,1900,26.8,28.01,21.84
